semantic_name,aliases,category,calibration_scope,transferability,present_in_profiles,DJI Air 3 | value,DJI Air 3 | default,DJI Air 3 | min,DJI Air 3 | max,DJI Air 3S | value,DJI Air 3S | default,DJI Air 3S | min,DJI Air 3S | max,DJI Mini 4 Pro | value,DJI Mini 4 Pro | default,DJI Mini 4 Pro | min,DJI Mini 4 Pro | max,DJI Neo | value,DJI Neo | default,DJI Neo | min,DJI Neo | max,DJI Neo 2 | value,DJI Neo 2 | default,DJI Neo 2 | min,DJI Neo 2 | max,DJI Flip | value,DJI Flip | default,DJI Flip | min,DJI Flip | max,DJI Avata 360 | value,DJI Avata 360 | default,DJI Avata 360 | min,DJI Avata 360 | max,DJI Lito X1 | value,DJI Lito X1 | default,DJI Lito X1 | min,DJI Lito X1 | max
active_safety_brake_enable,active_safety_brake_enable,Flight modes & handling,,,6,,,,,0,0,0,1,,,,,0,0,0,1,1,1,0,2,0,0,0,1,1,1,0,2,1,1,0,2
actual_lift_min,actual_lift_min,Other / opaque internal,,,8,0,0,0,50,0,0,0,50,0,0,0,50,0,0,0,50,0,0,0,50,0,0,0,50,0,0,0,50,0,0,0,50
actual_max_rate_x,actual_max_rate_x,Other / opaque internal,,,8,600,600,20,2000,450,450,20,2000,600,600,20,2000,450,450,20,2000,450,450,20,2000,450,450,20,2000,450,450,20,2000,450,450,20,2000
actual_max_rate_y,actual_max_rate_y,Other / opaque internal,,,8,600,600,20,2000,450,450,20,2000,600,600,20,2000,450,450,20,2000,450,450,20,2000,450,450,20,2000,450,450,20,2000,450,450,20,2000
actual_max_rate_z,actual_max_rate_z,Other / opaque internal,,,8,400,400,20,2000,320,320,20,2000,400,400,20,2000,320,320,20,2000,320,320,20,2000,320,320,20,2000,320,320,20,2000,320,320,20,2000
adapt_dist_gain,adapt_dist_gain,"Stabilization, gains & filters",,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3,3,0,100
adapt_enable,adapt_enable,"Stabilization, gains & filters",,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,1,0,2
adapt_fref,adapt_fref,"Stabilization, gains & filters",,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6,6,0,100
adapt_gain_max,adapt_gain_max,"Stabilization, gains & filters",,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.3,1.3,0.1,10
adapt_gain_min,adapt_gain_min,"Stabilization, gains & filters",,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.8,0.8,0.1,10
adapt_para_gain,adapt_para_gain,"Stabilization, gains & filters",,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.5,3.5,0,100
adapt_vel_tol,adapt_vel_tol,"Stabilization, gains & filters",,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,1,0,100
ag_backup_point_execute,ag_backup_point_execute,Other / opaque internal,,,2,0,0,0,1,,,,,0,0,0,1,,,,,,,,,,,,,,,,,,,,
ag_plat_backup_point_valid,ag_plat_backup_point_valid,Other / opaque internal,,,2,0,0,0,1,,,,,0,0,0,1,,,,,,,,,,,,,,,,,,,,
ag_plat_prevent_landing,ag_plat_prevent_landing,"RTH, takeoff, landing & failsafe",,,2,0,0,0,1,,,,,0,0,0,1,,,,,,,,,,,,,,,,,,,,
ang_vel_tilt_comp_fc_adj,ang_vel_tilt_comp_fc_adj,"Stabilization, gains & filters",,,6,100,100,30,150,100,100,30,150,100,100,30,150,100,100,30,150,100,100,30,150,100,100,30,150,,,,,,,,
ang_vel_tiltx_boost_freq,ang_vel_tiltx_boost_freq,"Stabilization, gains & filters",,,8,0.6,0.6,0.001,2,0.6,0.6,0.001,2,0.6,0.6,0.001,2,0.6,0.6,0.001,2,0.6,0.6,0.001,2,0.6,0.6,0.001,2,0.6,0.6,0.001,2,0.6,0.6,0.001,2
ang_vel_tiltx_boost_gain,ang_vel_tiltx_boost_gain,"Stabilization, gains & filters",,,8,1,1,1,30,1,1,1,30,1,1,1,30,1,1,1,30,1,1,1,30,1,1,1,30,1,1,1,30,1,1,1,30
ang_vel_tiltx_comp_fc,ang_vel_tiltx_comp_fc,"Stabilization, gains & filters",,,8,1.97,1.97,0.01,150,1.97,1.97,0.01,150,2.1,2.1,0.01,150,2.5,2.5,0.01,150,2.5,2.5,0.01,150,2.1,2.1,0.01,150,3.5,3.5,0.01,150,2,2,0.01,150
